created_at,text,source,geo
2016-12-21T00:20:38.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for iPhone,
2016-12-21T00:20:38.000Z,RT @Lakers: 450 of Kinston's finest made the four hour drive down to Charlotte to support their native son. #LakeShow https://t.co/PTJxQeKG…,Twitter for iPhone,
2016-12-21T00:20:38.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter Web Client,
2016-12-21T00:20:38.000Z,@iAHMEDsalih كوبي لعب ضد جوردان في أول موسمين ليه في الNBA بس وكان صغير يعني مش الأسطورة وفي فترة تفوق الBulls الLakers مكانوش منافس ليهم,Twitter Web Client,
2016-12-21T00:20:40.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for iPhone,
2016-12-21T00:20:41.000Z,15-13 Hornets vs. 11-19 Lakers. 🏀 #thecharlottepost https://t.co/TkmfVKIINd,Facebook,
2016-12-21T00:20:42.000Z,RT @ArashMarkazi: A bronze statue of Shaquille O’Neal will be unveiled in Star Plaza at Staples Center prior to the Lakers-Wolves gam… ,Twitter for iPhone,
2016-12-21T00:20:43.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter Web Client,
2016-12-21T00:20:43.000Z,Listen to Laker Film Room's Pete Zayas Gives His Ideal Lakers' Starting Five by Hollywood Hoops #np on #SoundCloud https://t.co/hhnBnRg8UU,iOS,
2016-12-21T00:20:43.000Z,💪💪💪 https://t.co/MnoCU1I8y6,Twitter for iPhone,
2016-12-21T00:20:43.000Z,@geoffschwartz @Lakers https://t.co/jWgrto18LB,Twitter for iPhone,
2016-12-21T00:20:43.000Z,@Lakers best SG in the league,Twitter for iPhone,
2016-12-21T00:20:43.000Z,24 march 2017 - this day @Lakers will unveiled bronze statue of @SHAQ! BIG congrats Dr. O'Neal! #NBA,Twitter Web Client,
2016-12-21T00:20:44.000Z,@SweetProno mmdrr moi j'suis tjr chaud mais les lakers commence bien c énculés,Twitter for Android,
2016-12-21T00:20:44.000Z,RT @hornets: Lakers up 19-12 midway through the 1st Q - @MKG14 #MarvinWilliams and @KembaWalker with 4pts apiece #BuzzCity,Twitter for iPhone,
2016-12-21T00:20:45.000Z,"RT @RyanWardLA: Lakers have announced Shaq’s statue unveiling outside of the @STAPLESCenter which will take place on March 24, 2017 #LakeSh…",Twitter for Android,
2016-12-21T00:20:45.000Z,or you kan blame us missing 4 key players but ya know.. jokes &gt; facts. https://t.co/kUtJ9aWaIU,Twitter for iPhone,
2016-12-21T00:20:45.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter for iPhone,
2016-12-21T00:20:45.000Z,"Another #Swaggy3 for a seven-point lead! 

Uncle P is feeling it again after hitting eight 3s last game! https://t.co/LPwQQzs35K",Twitter for iPhone,
2016-12-21T00:20:49.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter for iPhone,
2016-12-21T00:20:49.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for iPhone,
2016-12-21T00:20:49.000Z,RT @Lakers: Heat it up #Loading #LakeShow https://t.co/9QsNfCx4Mh,Twitter for Android,
2016-12-21T00:20:51.000Z,Lakers looking good early,Twitter for Android,
2016-12-21T00:20:52.000Z,RT @Lakers: Heat it up #Loading #LakeShow https://t.co/9QsNfCx4Mh,Twitter for Android,
2016-12-21T00:20:52.000Z,RT @Lakers: 450 of Kinston's finest made the four hour drive down to Charlotte to support their native son. #LakeShow https://t.co/PTJxQeKG…,Twitter for iPhone,
